Time,Measured Value,Control Output
0,1.0720821458981644,11.5
0.1,2.0949922354729784,10.76710553221711
0.2,3.2203613638163837,10.537154821911166
0.30000000000000004,4.248458344893622,10.084626605247694
0.4,5.114060616413202,9.636547397044401
0.5,6.098153028691494,9.267663799361387
0.6,7.004611791226496,8.667831577176008
0.7,7.842628205724859,8.064793318005522
0.7999999999999999,8.622146187744434,7.4459362003365035
0.8999999999999999,9.209515919001712,6.807128521166424
0.9999999999999999,9.9109557638236,6.308414610547091
1.0999999999999999,10.50279962698032,5.610175683664613
1.2,10.913956923379358,4.973531656893119
1.3,11.414619231539447,4.480012996494029
1.4000000000000001,11.883706602002624,3.8334135145919417
1.5000000000000002,12.266327267831747,3.1775342308133485
1.6000000000000003,12.527907773369826,2.572604173432754
1.7000000000000004,12.726183580063092,2.0642848985722435
1.8000000000000005,12.942519991821829,1.5965559688149098
1.9000000000000006,13.022630584192802,1.0850645276207156
2.0000000000000004,13.173059057229784,0.7095021677998499
2.1000000000000005,13.11313164273589,0.238251895006589
2.2000000000000006,13.114173612926361,-0.002616060396562414
2.3000000000000007,13.02284038211069,-0.31812386111388785
2.400000000000001,12.945828258636967,-0.5244559084589788
2.500000000000001,12.945114451030738,-0.7427426662160493
2.600000000000001,12.930582362523515,-1.04035521950627
2.700000000000001,12.809215121900344,-1.318190453206348
2.800000000000001,12.582861190879331,-1.4724029671674146
2.9000000000000012,12.514684575569868,-1.4990858207144429
3.0000000000000013,12.268050599355757,-1.690286528747544
3.1000000000000014,12.073091072012351,-1.6615347444237758
3.2000000000000015,11.98657769088655,-1.6764680467251412
3.3000000000000016,11.858398691759279,-1.7940347419988751
3.4000000000000017,11.739974042861045,-1.8496123311474577
3.5000000000000018,11.495856706181492,-1.9056728040467803
3.600000000000002,11.341160437260971,-1.8048565035963104
3.700000000000002,11.262060807233334,-1.7887473317898384
3.800000000000002,10.982748483118014,-1.8396336144301797
3.900000000000002,10.792268554842039,-1.6485855039222763
4.000000000000002,10.591957068095228,-1.5417740509224724
4.100000000000001,10.461434204374946,-1.4001666930616425
4.200000000000001,10.36821731021581,-1.3192766809301815
4.300000000000001,10.320104628836877,-1.2647468162706836
4.4,10.217969467313369,-1.2508998084144483
4.5,10.172922794715104,-1.167860469615048
4.6,10.071489294198164,-1.1429605009345567
4.699999999999999,9.954833454410268,-1.045856588441499
4.799999999999999,9.90445239019072,-0.9239229771310824
4.899999999999999,9.82509933787137,-0.867300890709023
4.999999999999998,9.67131177401107,-0.76900917277182
5.099999999999998,9.527142878609602,-0.5786310607355795
5.1999999999999975,9.469240588386727,-0.387657386618014
5.299999999999997,9.527965763628538,-0.2809924854927409
5.399999999999997,9.50633538369534,-0.2983456103706402
5.4999999999999964,9.485915135734727,-0.22333099104822604
5.599999999999996,9.44895671481655,-0.15156276325971438
5.699999999999996,9.48863755860312,-0.05867310517531417
5.799999999999995,9.5786169797651,-0.05104966805743365
5.899999999999995,9.52029044018123,-0.10140571606469366
5.999999999999995,9.588670572350312,0.012307077538346067
6.099999999999994,9.509358794061429,-0.021275445453414966
6.199999999999994,9.436400555477668,0.11448504895222321
6.299999999999994,9.541666581112006,0.2434855550029609
6.399999999999993,9.487427209667118,0.17514165804651782
6.499999999999993,9.460056603345416,0.2886135783786554
6.5999999999999925,9.579799631864038,0.3686350861096561
6.699999999999992,9.520573581381733,0.28355641266261433
6.799999999999992,9.644158150620056,0.39967355895679263
6.8999999999999915,9.637718213753478,0.3025326436704323
6.999999999999991,9.631273794616838,0.35170198446690704
7.099999999999991,9.588284679690755,0.3950192482553665
7.19999999999999,9.57338220687596,0.4810071300018464
7.29999999999999,9.677195329346253,0.5371670500234805
7.39999999999999,9.810701967943269,0.4596986148543087
7.499999999999989,9.788250933933826,0.3436371036566298
7.599999999999989,9.868873559624513,0.3950609279030127
7.699999999999989,9.940199268306415,0.3223972632648682
7.799999999999988,9.913028455106605,0.25751647360276353
7.899999999999988,9.952791019723902,0.2983092673859982
7.999999999999988,9.944393809336153,0.2599209319054562
8.099999999999987,9.978523982738588,0.2762867501098416
8.199999999999987,10.000795771732921,0.24217780924403878
8.299999999999986,9.98233905092871,0.22041936229681883
8.399999999999986,10.103421583521074,0.24267860349808654
8.499999999999986,10.205181051295403,0.104276949883786
8.599999999999985,10.147410205112148,-0.01703446977918153
8.699999999999985,10.244791037507188,0.03397187159073749
8.799999999999985,10.256661603723893,-0.09564564848393536
8.899999999999984,10.274939465384746,-0.1289068617641136
8.999999999999984,10.20233571210341,-0.17499903473564782
9.099999999999984,10.1984279391781,-0.11808477191754445
9.199999999999983,10.160916529054258,-0.1374545919278444
9.299999999999983,10.176971298309658,-0.11435465284950277
9.399999999999983,10.13898958747447,-0.15078486090482998
9.499999999999982,10.088912374314425,-0.12400028481255926
9.599999999999982,10.0255595095057,-0.08220953396771478
9.699999999999982,10.099738788001149,-0.020748837527124572
9.799999999999981,10.15595777219506,-0.11177860198789809
9.89999999999998,10.146398122363859,-0.18269534868623882
9.99999999999998,10.201074929739669,-0.18448657939016747
